latitude|longitude|Date
8.81204|-79.53776|07-08
8.95423|-79.57479|07-08
9.44368|-79.89263|07-08
9.39674|-79.89707|07-08
8.86649|-79.4815|07-08
9.45983|-79.87633|07-08
9.37228|-79.88538|07-08
9.37275|-79.8888|07-08
8.95559|-79.56541|07-08
8.82751|-79.53017|07-08
8.9997|-79.60326|07-08
9.53033|-79.91633|07-08
8.96233|-79.56917|07-08
9.37548|-79.89084|07-08
8.85838|-79.47297|07-08
9.42837|-79.89797|07-08
9.43429|-79.87167|07-08
8.88043|-79.4609|07-08
9.36216|-79.89236|07-08
8.96003|-79.56707|07-08
9.35744|-79.88295|07-08
9.53|-79.82607|07-08
9.50567|-79.93672|07-08
9.48645|-79.83583|07-08
9.42935|-79.88133|07-08
9.36331|-79.887|07-08
9.45502|-79.92879|07-08
9.42483|-79.95625|07-08
9.47134|-79.82837|07-08
9.55762|-79.81302|07-08
8.97249|-79.58144|07-08
8.86915|-79.46938|07-08
9.34948|-79.9195|07-08
8.71541|-79.39272|07-08
8.73432|-79.40101|07-08
9.55481|-79.87972|07-08
9.58316|-79.86759|07-08
9.54098|-80.01716|07-08
8.74083|-79.40816|07-08
8.74727|-79.40932|07-08
9.61727|-79.85727|07-08
9.58767|-79.86783|07-08
9.58272|-79.85987|07-08
9.62242|-79.86403|07-08
9.56824|-79.87188|07-08
8.73659|-79.40888|07-08
8.78262|-79.42392|07-08
8.74597|-79.40667|07-08
9.6138|-79.85008|07-08
9.46167|-79.90505|07-09
9.36352|-79.88577|07-09
8.8718|-79.50099|07-09
9.01356|-79.60858|07-09
9.37469|-79.8904|07-09
8.95778|-79.56508|07-09
9.50381|-79.89953|07-09
9.43288|-79.88179|07-09
8.87914|-79.47079|07-09
9.3616|-79.8849|07-09
9.48577|-79.95838|07-09
9.3522|-79.9078|07-09
9.37229|-79.88538|07-09
8.95396|-79.56687|07-09
8.88162|-79.49767|07-09
8.9633|-79.56999|07-09
9.49973|-79.94862|07-09
9.01372|-79.61692|07-09
9.45295|-79.8695|07-09
8.86121|-79.4625|07-09
9.46267|-79.93125|07-09
9.35289|-79.91007|07-09
8.86862|-79.4716|07-09
9.35777|-79.88317|07-09
9.35608|-79.88237|07-09
9.38109|-79.91823|07-09
9.36643|-79.88515|07-09
9.36213|-79.89237|07-09
8.96071|-79.56785|07-09
9.45444|-79.92889|07-09
8.8582|-79.47358|07-09
9.37108|-79.88697|07-09
8.95722|-79.57475|07-09
8.97715|-79.58536|07-09
9.35809|-79.89077|07-09
9.5016|-79.87642|07-09
8.95522|-79.57203|07-09
9.46581|-79.85641|07-09
8.95559|-79.5654|07-09
8.86336|-79.44307|07-09
9.57255|-79.8665|07-09
9.62267|-79.85105|07-09
8.7416|-79.40462|07-09
9.56333|-79.86368|07-09
8.73271|-79.40969|07-09
8.76183|-79.41422|07-09
8.75924|-79.41658|07-09
9.60517|-79.85868|07-09
9.59491|-79.88542|07-09
8.80685|-79.46919|07-09
9.55659|-79.88261|07-09
8.76916|-79.42272|07-09
9.55975|-79.86757|07-09
8.79475|-79.44436|07-09
9.59559|-79.87241|07-09
8.73454|-79.40889|07-09
9.36693|-79.88415|07-10
9.45283|-79.98027|07-10
8.8731|-79.4683|07-10
9.60265|-79.94122|07-10
8.96075|-79.56785|07-10
8.85741|-79.46044|07-10
9.356|-79.88244|07-10
8.81978|-79.59214|07-10
9.37076|-79.93515|07-10
8.88038|-79.49808|07-10
8.85938|-79.48085|07-10
8.96232|-79.56927|07-10
9.46427|-79.83187|07-10
9.35077|-79.91272|07-10
8.95413|-79.57472|07-10
9.35084|-79.90763|07-10
9.37532|-79.89071|07-10
9.35222|-79.90787|07-10
8.87115|-79.48042|07-10
9.35802|-79.89073|07-10
9.36214|-79.89236|07-10
9.36378|-79.88583|07-10
9.49937|-79.94863|07-10
8.95712|-79.57457|07-10
8.95795|-79.56514|07-10
8.95387|-79.56711|07-10
9.37297|-79.88907|07-10
9.45281|-79.87015|07-10
9.43276|-79.87497|07-10
9.361650000000001|-79.88493|07-10
9.3596|-79.88403|07-10
9.48538|-79.95826|07-10
8.88878|-79.50783|07-10
9.47261|-79.8166|07-10
9.37229|-79.88538|07-10
9.36624|-79.93227|07-10
9.46695|-79.85704|07-10
8.95542|-79.56557|07-10
8.73263|-79.40771|07-10
9.612400000000001|-79.84477|07-10
8.74084|-79.41712|07-10
8.78042|-79.42226|07-10
8.7505|-79.40933|07-10
9.59533|-79.86983|07-10
8.80704|-79.45063|07-10
8.73598|-79.41003|07-10
9.61599|-79.85597|07-10
8.75875|-79.41679|07-10
8.80508|-79.44532|07-10
9.59282|-79.8725|07-10
9.61867|-79.84845|07-10
8.95718|-79.57458|07-11
9.35605|-79.88246|07-11
9.46723|-79.85593|07-11
9.36564|-79.93235|07-11
8.98495|-79.59147|07-11
8.76745|-79.46317|07-11
8.87913|-79.49483|07-11
8.95587|-79.56726|07-11
9.47921|-79.94592|07-11
8.81015|-79.57715|07-11
8.96264|-79.56917|07-11
9.01378|-79.61687|07-11
9.55396|-79.94156|07-11
9.36983|-79.88483|07-11
9.36166|-79.88488|07-11
8.87872|-79.45846|07-11
9.35808|-79.8908|07-11
9.37541|-79.89078|07-11
8.95935|-79.57565|07-11
9.45151|-79.97942|07-11
9.37221|-79.88532000000001|07-11
9.45331|-79.8674|07-11
8.85755|-79.45909|07-11
8.86609|-79.46391|07-11
9.4555|-79.9259|07-11
9.48494|-79.95796|07-11
9.45977|-79.90087|07-11
9.37118|-79.93486|07-11
9.35094|-79.90761|07-11
9.25919|-79.91022|07-11
9.35983|-79.88415|07-11
9.37295|-79.89595|07-11
8.72577|-79.39897|07-11
8.73245|-79.4087|07-11
8.75654|-79.41817|07-11
9.51549|-79.89656|07-11
8.81438|-79.45441|07-11
9.57026|-79.86584|07-11
8.82393|-79.46648|07-11
9.55455|-79.86482|07-11
9.61749|-79.87638|07-11
9.48047|-79.94751|07-11
9.59617|-79.87019|07-11
9.59373|-79.84947|07-11
9.52242|-79.87158|07-11
9.55566|-79.88018|07-11
8.72151|-79.39614|07-11
8.80908|-79.44857|07-11
8.76702|-79.42132|07-11
9.35808|-79.89077|07-12
9.36336|-79.88567|07-12
8.95766|-79.56485|07-12
9.37171|-79.88563|07-12
9.37538|-79.89076|07-12
8.90085|-79.49516|07-12
9.28325|-79.9141|07-12
9.35858|-79.88351|07-12
9.48486|-79.95823|07-12
9.463940000000001|-79.88205|07-12
8.95539|-79.56558|07-12
9.3694|-79.88924|07-12
9.35304|-79.90642|07-12
8.83102|-79.44333|07-12
9.50238|-79.89515|07-12
8.99911|-79.59362|07-12
9.36474|-79.93318|07-12
9.36951|-79.91862|07-12
